,Precision,Recall,F1-Score,Accuracy
No Balancing,0.17809769038701623,0.3198757763975155,0.2277439316130267,0.3553299492385787
Weighted Loss,0.1848751600512164,0.3175983436853002,0.22406015037593985,0.3604060913705584
Oversampling with Augmentation,0.176267851558428,0.31387163561076603,0.2256955582643656,0.350253807106599
Oversampling without Augmentation,0.18416517419660056,0.30434782608695654,0.21713782600418807,0.34517766497461927
