Optimizer,Train Time (s),Validation Accuracy,Test Accuracy,Precision,Recall,F1-Score,AUC Per Class,Class Metrics
Adam,85.50958847999573,0.3205574912891986,0.233502538071066,0.19855972931685228,0.22765220189133234,0.17408719441232573,"{'Class 0': 0.48744897959183675, 'Class 1': 0.41770297646875487, 'Class 2': 0.5300049431537321, 'Class 3': 0.3506756756756757}","{'0': {'precision': 0.23694779116465864, 'recall': 0.59, 'f1-score': 0.33810888252148996, 'support': 100.0}, '1': {'precision': 0.2, 'recall': 0.017391304347826087, 'f1-score': 0.032, 'support': 115.0}, '2': {'precision': 0.30851063829787234, 'recall': 0.2761904761904762, 'f1-score': 0.2914572864321608, 'support': 105.0}, '3': {'precision': 0.04878048780487805, 'recall': 0.02702702702702703, 'f1-score': 0.034782608695652174, 'support': 74.0}, 'accuracy': 0.233502538071066, 'macro avg': {'precision': 0.19855972931685228, 'recall': 0.22765220189133234, 'f1-score': 0.17408719441232573, 'support': 394.0}, 'weighted avg': {'precision': 0.2098937873992473, 'recall': 0.233502538071066, 'f1-score': 0.17935994002792927, 'support': 394.0}}"
SGD,101.9224750995636,0.3902439024390244,0.20558375634517767,0.1977883448822939,0.22886590006155222,0.1752316304914576,"{'Class 0': 0.4683333333333333, 'Class 1': 0.34841826398628645, 'Class 2': 0.31385730762893393, 'Class 3': 0.44839527027027026}","{'0': {'precision': 0.2229299363057325, 'recall': 0.35, 'f1-score': 0.2723735408560311, 'support': 100.0}, '1': {'precision': 0.2564102564102564, 'recall': 0.08695652173913043, 'f1-score': 0.12987012987012986, 'support': 115.0}, '2': {'precision': 0.125, 'recall': 0.01904761904761905, 'f1-score': 0.03305785123966942, 'support': 105.0}, '3': {'precision': 0.18681318681318682, 'recall': 0.4594594594594595, 'f1-score': 0.265625, 'support': 74.0}, 'accuracy': 0.20558375634517767, 'macro avg': {'precision': 0.1977883448822939, 'recall': 0.22886590006155222, 'f1-score': 0.1752316304914576, 'support': 394.0}, 'weighted avg': {'precision': 0.19982068259372732, 'recall': 0.20558375634517767, 'f1-score': 0.1657353893422166, 'support': 394.0}}"
RMSprop,86.13702821731567,0.15505226480836237,0.2563451776649746,0.1395147868390731,0.2357142857142857,0.15271950854060534,"{'Class 0': 0.5818027210884354, 'Class 1': 0.5336450054542621, 'Class 2': 0.46093260833745264, 'Class 3': 0.22930743243243243}","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 100.0}, '1': {'precision': 0.3150684931506849, 'recall': 0.2, 'f1-score': 0.24468085106382978, 'support': 115.0}, '2': {'precision': 0.24299065420560748, 'recall': 0.7428571428571429, 'f1-score': 0.36619718309859156, 'support': 105.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 74.0}, 'accuracy': 0.2563451776649746, 'macro avg': {'precision': 0.1395147868390731, 'recall': 0.2357142857142857, 'f1-score': 0.15271950854060534, 'support': 394.0}, 'weighted avg': {'precision': 0.15671800863938465, 'recall': 0.2563451776649746, 'f1-score': 0.1690076195372907, 'support': 394.0}}"
