Augmentation,Train Time (s),Validation Accuracy,Test Accuracy,Precision,Recall,F1-Score,AUC Per Class,Class Metrics
Minimal,90.16494417190552,0.9146341463414634,0.7055837563451777,0.7829334490804891,0.6953791058138884,0.6622465511018839,"{'Class 0': 0.6394557823129251, 'Class 1': 0.9419666510830607, 'Class 2': 0.9324765200197727, 'Class 3': 0.9286317567567568}","{'0': {'precision': 0.9, 'recall': 0.18, 'f1-score': 0.3, 'support': 100.0}, '1': {'precision': 0.7482014388489209, 'recall': 0.9043478260869565, 'f1-score': 0.8188976377952756, 'support': 115.0}, '2': {'precision': 0.5852272727272727, 'recall': 0.9809523809523809, 'f1-score': 0.7330960854092526, 'support': 105.0}, '3': {'precision': 0.8983050847457628, 'recall': 0.7162162162162162, 'f1-score': 0.7969924812030075, 'support': 74.0}, 'accuracy': 0.7055837563451777, 'macro avg': {'precision': 0.7829334490804891, 'recall': 0.6953791058138884, 'f1-score': 0.6622465511018839, 'support': 394.0}, 'weighted avg': {'precision': 0.7714888461298882, 'recall': 0.7055837563451777, 'f1-score': 0.660217667318403, 'support': 394.0}}"
Advanced,172.6262810230255,0.8414634146341463,0.5406091370558376,0.6143449256560669,0.5464152817413688,0.5184244327540896,"{'Class 0': 0.6101020408163265, 'Class 1': 0.7624746766401745, 'Class 2': 0.8103806228373703, 'Class 3': 0.919679054054054}","{'0': {'precision': 0.6521739130434783, 'recall': 0.15, 'f1-score': 0.24390243902439024, 'support': 100.0}, '1': {'precision': 0.6043956043956044, 'recall': 0.4782608695652174, 'f1-score': 0.5339805825242718, 'support': 115.0}, '2': {'precision': 0.4351851851851852, 'recall': 0.8952380952380953, 'f1-score': 0.5856697819314641, 'support': 105.0}, '3': {'precision': 0.765625, 'recall': 0.6621621621621622, 'f1-score': 0.7101449275362319, 'support': 74.0}, 'accuracy': 0.5406091370558376, 'macro avg': {'precision': 0.6143449256560669, 'recall': 0.5464152817413688, 'f1-score': 0.5184244327540896, 'support': 394.0}, 'weighted avg': {'precision': 0.6017095945540273, 'recall': 0.5406091370558376, 'f1-score': 0.5072184330792263, 'support': 394.0}}"
Complex,86.17884373664856,0.3083623693379791,0.21573604060913706,0.19830549657963684,0.20912735717083547,0.15287894538119057,"{'Class 0': 0.503061224489796, 'Class 1': 0.554184198223469, 'Class 2': 0.49794035261163283, 'Class 3': 0.3331081081081081}","{'0': {'precision': 0.24535315985130113, 'recall': 0.66, 'f1-score': 0.35772357723577236, 'support': 100.0}, '1': {'precision': 0.36585365853658536, 'recall': 0.13043478260869565, 'f1-score': 0.19230769230769232, 'support': 115.0}, '2': {'precision': 0.15384615384615385, 'recall': 0.01904761904761905, 'f1-score': 0.03389830508474576, 'support': 105.0}, '3': {'precision': 0.028169014084507043, 'recall': 0.02702702702702703, 'f1-score': 0.027586206896551724, 'support': 74.0}, 'accuracy': 0.21573604060913706, 'macro avg': {'precision': 0.19830549657963684, 'recall': 0.20912735717083547, 'f1-score': 0.15287894538119057, 'support': 394.0}, 'weighted avg': {'precision': 0.21534730942369826, 'recall': 0.21573604060913706, 'f1-score': 0.1611381819370685, 'support': 394.0}}"
